start	end	text
3010	4432	Let's use our old method.
4472	9819	Let me share my screen.
9839	10079	Okay.
14645	15386	You see my screen.
20952	23816	So this is the gateway.
26139	26239	Okay.
27541	28562	And this is the.
32546	35611	Let's do it.
35631	36011	Agents.
41780	42982	If there is any other agents.
43363	43543	Okay.
44645	46087	And then if there's any other agents.
47469	47649	Okay.
48170	50834	And this is the, it's actually smart structure.
52116	57084	Let's say this is the user.
60389	60850	Okay.
61666	73442	So basically, the gateway is the connector between the agents, the requests.
73782	79470	Anything you do, the gateway directs your requests.
85739	87721	It's basically like that's right.
88322	91186	So if you go, the gateway has many information.
91586	93809	I'll show you a file, which is the open cloud Jason.
96932	97974	Stop sharing.
97994	98935	Let me just do here.
99676	103961	Let me just do the whole window together.
103981	106764	No, where is it?
111009	112732	Let me just do a task.
112752	112852	Okay.
117017	118098	You see the Jason here?
122914	123715	This is the gateway.
125817	126118	Okay.
126238	128581	So they see this, the agent is the workspace.
128621	129702	This is the model I'm using.
130583	130903	Okay.
132005	134167	Uh, this is the list of agents I have.
134848	135909	These are the list of agents.
136410	139253	This is string, digits, promo.
139754	145020	This is the bind the binding binding, which, which means it's like a connecting information to each other.
145060	146381	Okay.
149004	150546	So the agent ID mean.
150786	156793	It has a channel in telegram and it has an account ID, which is main bot here.
158975	159255	Okay.
159616	162259	String it's called string bots and so on.
162719	165122	This is the gateway information, the gateway token.
168266	175173	Uh, you know, just like the type of, uh, type of, uh, what do you call it?
175193	177156	Exactly.
177176	177956	It's a conflict file.
179198	179378	Okay.
179746	197465	Now, if you want to create a webhook, just like NA10, if you want to create something like this, this one, this webhook trigger is a webhook that receives information, right?
199006	200708	It receives requests.
201189	205493	So what you do, you go to the config file, you add it here.
205513	206354	You see it's a hook.
209474	209915	Do you see it?
211637	214480	And then you add, you add something called mappings.
219226	225134	So if you want to talk, I, I, I tried to make it dynamic, but it didn't work.
225775	228458	I wanted to make only one mapping.
228478	232263	And then I, I, I do the directing from my request.
232283	237810	So right now, if you see, I'm doing one, two, three, four mapping for each agent.
239650	243136	I wanted to do only one.
243196	253473	So how many agents do I have?
253614	254355	I have four, right?
254715	255938	There is one called promo.
255958	260906	One is main and the other one is digit and the other one is string.
261347	261868	I have four.
262449	262769	Okay.
265233	265454	Okay.
265474	265714	Let's,
267010	269133	Yeah, so it distinguishes between agents.
269153	275721	So if I want to send a message to promo, OK, this is a placeholder.
276922	278124	I write the request here.
278845	279686	You see the request.
280447	281508	I change it to promo.
282089	283471	You see the request here, promo.
284632	285093	Do you see it?
291901	292722	What do you see now?
299938	300899	Do you see N8n here?
300920	306488	Do you see HTB request node?
309994	310314	Okay.
310334	312377	Now do you see the link?
312658	315662	I go to Hawks, which is the one in the config file.
316684	319288	And then I go to N8n promo, which is this one.
320350	321271	N8n promo.
321291	321872	This is the path.
321912	322333	Do you see it?
326840	328402	What I'm trying to say in the map.
329250	334616	I'm telling the agent, I'm going to send you a message right here.
334696	336018	DC, I'm going to send you a message.
337359	337680	Okay.
338801	339902	This is the session key.
339962	341564	I don't want you to create a new session.
342065	348292	Use this session key and respond in this telegram ID and topic.
349754	356882	So if I go to promo hooks then promo, and then I send a message.
358306	361590	respond with, let's say, give me a call.
361610	363011	Let's say your name, Omer.
363692	363872	Okay.
366876	369479	If I execute it's sending.
370660	371361	Now let me show you.
372903	374905	You should see Promo responding here.
377708	378609	Just give it a second.
382794	383134	Do you see?
383154	386578	Do you see your name here?
389698	394964	If I want Digit to respond, I will say Digit.
395806	396647	I change it to Digit.
397508	400491	Now it's going to go to this hook in a state.
400511	401553	It's going to go to this hook.
401573	402193	Do you see Digit?
405357	407240	And then it's going to respond in topic number three.
407860	409562	It's going to use agent ID Digit.
411885	412226	Okay.
413187	416591	Now if I execute, executed, I go to Telegram.
416931	417893	I go to Digit.
417913	418994	Just wait a second here.
420002	420423	You see?
423847	424347	You see the name?
435841	436302	Exactly.
436342	442530	So this is very, very configurable.
442590	445453	You can play it as much as you want.
446014	447276	Actually, it's a very smart idea.
447776	449298	You can do whatever you want.
450178	456908	Okay, my target is, instead of using a backend, let me just go back in here.
460673	461154	Where is it?
463998	465319	Do you see the front end, the backend?
469746	471048	Now we don't need this one.
471308	472229	We don't need the backend.
473171	474292	We just do the front end.
474733	478418	We connect it to super base and anything is going to be the backend for us.
488834	489254	What is it?
501128	506194	Because the idea is the backend was coded by the agent.
506414	509278	The agent is not like reliable to do.
509738	510059	Okay.
511340	516466	I mean, if every time I tell the agent to update the backend, it misses many other things.
519842	520283	Okay.
520543	522046	So my idea is the following.
522627	525272	I tell the agent to only build the front end as I want.
525993	526294	Okay.
528858	533767	And then if I create, if I create a, let's hope it's work, it's still working.
534188	537454	You see here now it's still connected to the super base.
540379	542162	Now I can create a task.
556226	557067	Exactly.
557107	565435	So if I want to send an update or create a project in SuperBase, I'm not going to use the backend that created by the agent.
565455	566536	I'm going to use N8n.
569318	569759	You got it?
575764	577406	We had a problem before with this.
577466	578387	Do you know what's the problem?
580709	584232	If main creates an agent, creates a task.
585434	585874	Okay.
587042	590245	and assigns the task to, let's say string.
594049	594409	Okay.
595490	600255	It, it assigns the task and it assigns the task to string and it's written in Subabase.
600275	600615	Correct?
603318	609824	I can make Subabase do a post request to N8n through here.
611025	615730	And then from here, I can link this one to promo to work on the task.
619618	622322	Please, if you don't understand me, tell me, don't worry.
622362	624024	Don't worry about saying you don't understand.
624044	624745	Tell me so I can.
628631	629272	In the past.
630593	644974	Okay.
644994	645995	I'll tell you, I'll tell you.
647898	648178	Uh,
649634	650395	Let me just go back.
650996	654560	Let me show you what is super base.
655261	659106	This super base.
665014	670582	Just give me a second.
670622	670962	Okay.
688162	698193	So if I go to super base, okay, these are our agents, correct?
703719	717394	Now, if main creates a task, creates a project, okay, and then creates a task and assigns this task to
717890	721654	Which agent, let's see.
724136	725057	What is the assignee?
728180	729181	There is no assignee.
729221	731063	We should add assignee assignee.
732324	744816	Uh, we should, we should add a column, which assignee assignee ID.
747078	747378	Yeah.
747778	751982	So this one, uh, just give me a second.
752002	752423	I'm sorry.
758789	759090	Okay.
759190	763314	This is the assignee, the assignee ID, which is, which, which refers back, let's say this one.
764075	768880	Uh, if you go to agent, which agent B seven, three, nine B seven, three, nine.
771923	772323	What does it be?
772343	774566	So this is the, this is for a string, I think.
774586	774866	Right.
778850	780813	V7, uh, nine three.
781073	781955	This is for promo.
782315	782556	Okay.
782576	783777	So this, this, yeah.
783797	785881	So this task is for, for promo.
785901	786081	Okay.
786662	798640	Once this created, once this thing created to send a push to the way book in it, in, in it, in here, it's going to send it here.
801865	804208	Like this, it's going to send it here.
804849	808114	And then from here, a request is going to be made.
808418	812706	to promo, telling promo about the task and what they should do.
813813	814578	You got the idea?
842914	845017	Uh, yeah, I understand.
845117	846599	I understand what's saying.
846620	860360	This is just, uh, this is just for, if you go to the mapping, if you go to the mapping, okay, this is for us to communicate because I don't want the agent to work in the background without me knowing.
861241	867931	I'm telling, I'm telling, if you go to the open claw, uh, look, look here, this is the open claw, uh, system.
869433	869874	Okay.
871010	872152	There are many sessions.
872172	873533	You can create many sessions.
873634	875035	I don't want to create many sessions.
875496	879301	I want to use one session for us to communicate between us and the, and the agent.
881444	881785	Okay.
883106	884088	Do you know how it's going to help us?
884648	885670	I'll tell you how it's going to help us.
887292	890577	Our next plan is to make promo talk to clients.
894983	896064	Every conversation.
898467	900530	Yeah, every conversation with a
900770	903233	client is going to be considered as a session.
904835	905195	Okay.
907278	914146	If the, what I want to do, I want to save all the conversation that's happening between the client and the agent.
914667	920774	So, and basically I can check it and I see that the agent is not like doing something bad.
924639	925340	You get the idea.
925380	930226	Are you sure?
944546	952115	Now that's going to be, that's going to be in the, uh, uh, in the, uh, I don't use this much.
952496	953417	I just see the sessions.
953457	955019	I don't, I don't actually use it at all.
955680	959024	This is for me just to check out the sessions, but it's something I don't care about.
959064	959625	Okay.
961607	964511	If you go here, if I go here, we just send a message to promo, right?
965212	965773	Let me show you.
966754	970498	This is the last message was to digit sending the name.
970538	970739	Right?
971259	973362	So if I go to here, I go to dig it.
973954	974455	Do you see it?
975817	976277	Do you see it?
976658	979262	This is the request that happened from N18.
979282	987013	Do you see respond with Omer?
987053	987614	Do you see it here?
991660	994885	I am trying to find a way to remove this whole thing as well.
995045	998230	I just want this one, this part, the one I sent.
999772	1003858	But I couldn't find a way to remove it.
1008994	1009415	Okay.
1022615	1025139	Yeah, I'm, I'm, I'm trying to find a way.
1025159	1028003	I don't know if it's going to be applicable or not.
1028023	1029906	I just want to remove the whole message.
1029926	1037338	You know, if I, if I do, uh, I'm, I want to try and test it, but, uh, let me just see here.
1037358	1037618	Okay.
1037890	1038631	We just go here.
1038671	1039952	Where's the mission in the front end?
1040513	1044077	I say create project this thing in it.
1044477	1054007	And this is a project to test, to test and it's system.
1055669	1058152	So it's going to be active.
1058172	1058272	Okay.
1059934	1062637	That should be testing, testing, testing.
1064318	1067762	Now, if I go to it's right here, do you see it?
1070338	1070598	Okay.
1072842	1081394	If I go here, I change this one to, uh, there should be a signing as well.
1083117	1083478	Okay.
1084018	1087243	And now, now this thing, if you see, there is a missing gap.
1087263	1087724	Do you see it?
1088164	1090288	I created the project here, right?
1093192	1094995	But it wasn't delivered to the agents.
1095716	1097298	No agent knows about this project.
1098402	1101065	There is no way for the agents to understand what's going on.
1101486	1125697	Now, if I create a task testing and it insists temp for all agents, all agents must respond with let's say agent name one, two, three.
1125717	1126738	Now I do it here.
1128322	1138020	How critical I have to have a find a way to, uh, assign to make, I can choose multiple, multiple agents, create a task.
1139864	1149362	Now it creates the task, but the agents, they don't know about the, uh, about what's going on.
1154338	1158364	No, no, no, they don't have any way of communicating with the system.
1161248	1165454	If I change it to main, they don't know about it.
1165855	1166175	Nothing.
1169840	1179194	So if I do here, if I come here, I go to integrations, I think API.
1181016	1182098	Let me see.
1188258	1189280	What is webhook?
1192664	1193125	Webhook.
1197011	1197191	Okay.
1197572	1198553	Create a new webhook.
1199434	1205203	If I see, uh, system comes.
1208227	1208948	Say public.
1211853	1212494	We'll do task.
1216079	1218042	Anything.
1218062	1218162	Okay.
1219714	1223779	post, let's go to any 10, take this one.
1225702	1227064	Uh, no, I will use internal one.
1231129	1232430	Uh, I'll do this one for the time being.
1233051	1236816	Okay.
1236836	1236936	Okay.
1237878	1239059	And then content type.
1241662	1242343	Parameters.
1242924	1244466	What's the parameter I should do?
1251266	1252367	How can I give it a test?
1266160	1268342	Let me just, uh, I'll show you, we're just in a second.
1268382	1269043	I'll do D here.
1269984	1271065	Okay.
1271085	1281234	You create a task, create a task, this thing, so this system, assigning main.
1281634	1284797	Project testing unit in create a task.
1286919	1287059	Okay.
1287079	1288020	We received the DC.
1289502	1289962	We got it.
1293826	1295587	Now what we do is we come here.
1296208	1296648	Do you see it?
1297429	1298310	You get the idea now.
1303515	1305177	This is a message.
1306678	1310802	Generated from mission.
1311010	1316295	control system.
1316315	1321420	You are assigned this task.
1322881	1323041	Okay.
1323602	1332850	Now what we do is description.
1333331	1334392	Let's do description here.
1336154	1340978	Task name, task titles.
1345154	1352361	Telegram.
1363913	1368338	Telegram is like a session.
1370099	1372722	If I remove this, just...
1375522	1376063	Let me show you.
1376083	1377244	I'll show you real quick.
1377404	1382110	If I remove this session key, if I remove it, do you know what's going to happen?
1384172	1385975	It's going to send a message to the agent.
1386716	1387056	Okay.
1388237	1389959	But we, we didn't know about it.
1390901	1395146	And then in sessions here is going to create a new session called hook.
1399551	1400252	You get the idea?
1401574	1405298	The key is I'm telling this, the agent.
1405666	1411054	Do not create new session work on the job using this session.
1413217	1423753	If I want, if I want the agent, if I want the agent to respond to me in another, like, uh, in another like a channel, like maybe WhatsApp or telegram or whatsoever, I would change it here.
1423893	1424454	Do you see it here?
1427518	1434549	Look, look, I'm going to, I'm going to change a, I'm going to change a digit to one.
1435009	1435410	Okay.
1436098	1438504	No, I have to, I have to say it's not going to work here.
1439407	1444621	If I change it here, if I put WhatsApp, telegram whatsoever, it's going to give me the response in this, in this channel.
1450216	1451058	You got the idea?
1468322	1468923	Exactly.
1468963	1489053	Let's say task requests, job to be done job, task to be done, do dates.
1498026	1498226	Okay.
1501666	1504330	We see the assignee here.
1507113	1509556	We can do an F statement in the link.
1511339	1512380	If the assignee.
1517106	1517927	Okay, we do here.
1520331	1521092	An F statement.
1527620	1529042	I think you do it like this, right?
1532386	1538612	So basically we put the, if the assignee is this, we put digit, if the assignee is this, we put promo, so on.
1541896	1545019	Let me just give it a test since we are here.
1545039	1553708	Okay.
1553728	1559954	The respond with five, five, six, five.
1562850	1563691	I remove this thing.
1564713	1564813	Okay.
1565954	1570440	Now, if you play that, it's going to be two digits.
1572924	1573064	Yeah.
1573584	1574185	Execute.
1577229	1578691	We should see now the code.
1582617	1584279	Five, six, six, seven, six.
1585541	1585981	Do you see it?
1591429	1592530	Now, if we go.
1592930	1596034	to the sessions to digit.
1597075	1597876	Do you see our message?
1604663	1605664	You get the whole idea now.
1610890	1617778	If I change the status of the message to, sorry, just give me a second.
1622146	1632824	If I change the status to blocked, just before I do, you don't see my screen.
1640476	1641057	You see it now.
1645004	1645805	I'll stop this one.
1646306	1648009	Now I'm going to activate the webhook.
1648349	1648850	Now look.
1649858	1650739	I'm going to go here.
1650779	1652320	I'm going to change the status to blocked.
1653161	1653321	Okay.
1658206	1658707	Do you see it?
1659447	1660208	We received it here.
1662871	1669037	Status blocked, which means please the agent so-and-so stop working on it or whatsoever.
1671379	1671739	You get it?
1671779	1678546	The whole thing is clear now.
1684994	1685955	Everything is in here.
1693527	1694689	I'm going to remove this.
1706167	1713458	Now we need to build the, I need to build the, the, uh, the front page, the front end.
1713986	1714847	I need to change this one.
1714867	1716850	This one is not practical.
1717550	1718552	I need multiple pages.
1719673	1719953	OK.
1725460	1727122	I don't know how to explain this for you.
1731628	1732208	Let me show you.
1733490	1735092	OK, I'll show you everything.
1735252	1740018	Please, if you have a note, write it down so you can work with it.
1746210	1746590	Okay.
1748753	1751576	Uh, first of all, I need to see my agents here.
1752517	1752817	Okay.
1755080	1756041	It doesn't have to be here.
1756081	1757563	Just give me like a nice layout.
1758624	1759825	Cool.
1759845	1764871	I want to see recent activity or recent activity is in here and integration.
1764911	1765311	Do you see it?
1765792	1766933	It's here in activity log.
1770798	1771198	Okay.
1773200	1774802	And I want to see.
1777026	1780712	Uh, just like this, create a project tasks.
1782234	1782515	Okay.
1783035	1785279	This should be in, in a different page.
1785359	1787042	They should be like a projects page here.
1790848	1793752	And they should be like, uh, uh, yeah, projects page.
1794093	1797298	And then you open the projects, you see all the projects, you see all the tasks.
1809890	1813134	Yeah, but I need, I need a few other things.
1813374	1815878	I also need like a timeline.
1816278	1817380	You see the timeline in here.
1817400	1818481	Okay.
1818982	1821625	I like a calendar.
1821645	1822446	I don't want it like this.
1823087	1823628	I'll show you.
1825049	1825650	I'll show you one.
1825670	1826351	Just give me a second.
1829776	1832159	I think, I think I sent you before, right?
1834241	1834802	Oh, wait.
1839106	1851886	Give me a second, I'll send it to you.
1851906	1853330	I'll send it in WhatsApp, okay?
1875170	1876191	The season, what's up?
1884140	1886002	This is the, this is a campaign page.
1888985	1889906	This is the dashboard.
1892269	1892569	Okay.
1893250	1894051	This is the timeline.
1894091	1894912	I want something like this.
1900218	1900658	Okay.
1905314	1908921	I also need this is going to be also in the super base.
1911747	1919743	Um, uh, I also need something like, uh, what is it?
1919763	1922428	Do you see the telegram?
1926296	1927378	This is telegram page.
1932354	1935138	DC this is like agent, where is it?
1938523	1939224	Oh, it failed.
1939244	1939945	Just give me a second.
1950100	1954707	DC the, like here we have agent digit is sending this message at this time, right?
1960035	1962098	I want this, I want a page like this.
1962594	1969663	It shows me the conversation going on between either agents, between me and the agents, between the client and the agents whatsoever.
1971486	1974910	Okay.
1974930	1978675	But for the, I mean, the key is going to be in the super base, right?
1984923	1985444	Exactly.
1985524	1990290	So what's going to happen is what's going to happen is going to be there like a new, a new, uh,
1990882	1992383	Uh, what is it?
1992504	1998129	And you like table and then I don't want each conversation in a row.
1999991	2001913	I want each session in a row.
2003514	2004215	You get the idea.
2008639	2010521	So let's say Amir is a client.
2010801	2014425	You talk to agent promo in session, what's up whatsoever.
2014605	2019890	X, X, X, then it's going to be creating a row here called X, X, what's up.
2020450	2022373	a client name is maybe Omero.
2022413	2023836	This is the client ID.
2024297	2025339	This is the agent ID.
2025679	2027102	And then it's going to be like a Jason.
2027122	2028504	Do you see the metadata Jason here?
2030427	2037580	Each message is going to be represented by like the time and everything and when was it sent and everything.
2042208	2043410	You get it?
2049282	2058977	Also, the mission control has access to the super base.
2058997	2064225	For example, if I create a project, it's reflected directly in the super base.
2064245	2074361	So there are many ways to create a project, either from mission control or from telegram by the main agent to create a project.
2074381	2075122	You get it?
2082210	2083212	Uh, that's it.
2083452	2086297	If you need any mappings for the roots, just let me know.
2087178	2089421	And I will do the necessary changes.
2098135	2109874	Share what I'll send you, I'll send you the, the hooking part.
2116066	2145938	now there is another hook which is the internal one you see it the internal one there are two hooks here by the way there are two hooks there is one internal and there is one external this one is internal okay and this one and this one is external you might ask what's the difference
2146338	2151185	If I write a message, look here, I'm going to send a message in telegram.
2151205	2151465	Okay.
2167487	2168248	Do you see my message?
2168268	2168528	I sent.
2168548	2168868	Hello.
2169569	2170150	Hello.
2170210	2173034	You see it received it.
2173415	2174516	It's my message.
2174937	2176018	This is how you track.
2176226	2181854	conversation between clients and agents.
2184938	2187782	If I say, what time is it now?
2192107	2194090	Now, the booth is going to send me a message.
2194470	2196213	I'm going to receive it here in the webhook.
2196233	2196433	Look.
2197394	2197955	Just give me a second.
2201940	2202581	Wait a second.
2205265	2206066	Another one.
2206338	2208681	On it sent three messages.
2210943	2211203	Look.
2213706	2214287	Session key.
2214307	2215208	That's the session key.
2215228	2216029	Okay.
2217270	2218051	This is the message.
2220233	2220674	You got it.
2227301	2228863	Account ID.
2228883	2229984	Conversation ID.
2231826	2232968	The channel is telegram.
2234069	2235090	The message ID.
2235650	2238956	Is group through group ID and so on.
2243464	2243745	Nice.
2248774	2249796	There is many possibilities.
2249856	2253042	Can you think of like possibilities to work on?
2276450	2278534	But can you understand many possibilities in here?
2278594	2279836	We can, we can do a lot.
2292537	2293138	Say again.
2306882	2307763	We can do that, yes.
2309045	2313691	It's going to be like, yes, yes, lots and lots of possibilities.
2315554	2320721	If I see here, this is my message.
2320761	2326088	This is my message, telegram, account ID, metadata, sender ID.
2326109	2329053	You see, this is the information of me I'm sending.
2329093	2329713	This is my ID.
2331396	2332377	And then you go here.
2334400	2335922	This is an internal tool.
2337602	2338884	session status content.
2342628	2342928	Okay.
2344330	2348615	And then it's another one.
2356425	2358827	Let's try and finish it as fast as possible.
2358847	2361010	If you want to work, are you going to work on it tonight?
2369154	2369535	Okay.
2371738	2378748	For the front end, make sure it's a Docker file because it's easy for us to add basic authentication.
2378768	2379249	Do you see it?
2380551	2381192	It's very easy.
2383715	2385518	So make sure it's a Docker file.
2390545	2391026	The what?
2398562	2400224	Uh, you mean, you mean variable.
2400244	2400405	Okay.
2403730	2404691	Just give me a second.
2407095	2407916	Uh, get happy.
2413804	2417069	It has a backend, but it's not, uh, it's not needed anymore.
2417089	2428466	I already shared with you, didn't I?
2436482	2445216	Yeah, you are already in the... You are already in the collaborators, yes.
2457836	2458296	You got it?
2461281	2461842	All good?
2464546	2466288	Yeah, we don't we don't need the back end anymore.
2466308	2468251	I mean, it's it's it's not necessary.
2471155	2472056	We're going to use anything.
2472417	2475361	I think there is I think just wait, wait, show you something.
2477524	2478505	But let me show you later.
2478645	2479847	Let's let's keep it for later.
2479867	2480127	Okay.
2484213	2485355	Thank you so much for your time.
2485395	2486316	We'll talk inshallah.
2486877	2488939	Please try and finish it as fast as possible.
2492004	2493065	Thank you so much.
2493085	2493746	Allah Hafiz.
